('路明非，不卷你屠什么龙！', 'https://m.bqgl.cc/map//look/188525/')
('[娱乐圈]顶流cp今天官宣了吗', 'https://m.bqgl.cc/map//look/188130/')
('黑道：从征服丰满美妇开始', 'https://m.bqgl.cc/map//look/187822/')
('绑定哪吒，我成华夏神明团宠', 'https://m.bqgl.cc/map//look/188031/')
('挖剑骨，夺灵根，重生师姐不干了', 'https://m.bqgl.cc/map//look/188601/')
('在恋综当老六？一句泡面仙人全网暴火', 'https://m.bqgl.cc/map//look/188133/')
('灵棺', 'https://m.bqgl.cc/map//look/188784/')
('坏女人不仁？难就堕落成奴吧！', 'https://m.bqgl.cc/map//look/188248/')
('打了鬼就不能打我了哦', 'https://m.bqgl.cc/map//look/188405/')
('我在大明开医馆', 'https://m.bqgl.cc/map//look/188095/')
('大乾边关一小卒', 'https://m.bqgl.cc/map//look/188022/')
('制霸娱乐圈，从一首体面开始', 'https://m.bqgl.cc/map//look/188386/')
('四合院：穿越三年系统才来', 'https://m.bqgl.cc/map//look/187888/')
('无限超脱自遮天而始', 'https://m.bqgl.cc/map//look/187986/')
('全校公敌！和美女老师谈恋爱', 'https://m.bqgl.cc/map//look/188216/')
('移动城市种田指南', 'https://m.bqgl.cc/map//look/188050/')
('亮剑：老李，我真不是军工专家', 'https://m.bqgl.cc/map//look/188003/')
('大明：我天天死谏，朱元璋人麻了', 'https://m.bqgl.cc/map//look/188577/')
('养育19年，女儿将我网暴', 'https://m.bqgl.cc/map//look/187878/')
('我渣吗？三个顶尖校花摇头', 'https://m.bqgl.cc/map//look/188397/')
('四合院：火红年代激情满满', 'https://m.bqgl.cc/map//look/188802/')
('人在型月，英灵之路', 'https://m.bqgl.cc/map//look/187854/')
('天幕出现后，恶毒人设彻底崩了', 'https://m.bqgl.cc/map//look/188205/')
('守山人修仙记', 'https://m.bqgl.cc/map//look/188677/')
('西游之方寸山二师兄', 'https://m.bqgl.cc/map//look/188201/')
('港综：从胜和龙头开始', 'https://m.bqgl.cc/map//look/187883/')
('东京：这个逆袭系统不对劲', 'https://m.bqgl.cc/map//look/188794/')
('你选的养弟，我离婚你又后悔什么', 'https://m.bqgl.cc/map//look/188659/')
('被七零绝嗣军官娇宠了', 'https://m.bqgl.cc/map//look/188270/')
('冬日重现', 'https://m.bqgl.cc/map//look/188042/')
('仙逆：重生周佚，多子多福', 'https://m.bqgl.cc/map//look/188377/')
('吾有一塔，葬仙，葬神，葬诸天', 'https://m.bqgl.cc/map//look/188636/')
('我不是癞蛤蟆', 'https://m.bqgl.cc/map//look/187924/')
('就兼个职，你通缉我一千五百万？', 'https://m.bqgl.cc/map//look/188190/')
('双穿：这个三国有龙气', 'https://m.bqgl.cc/map//look/188294/')
('神印王座：煌煌天威，圣龙降世！', 'https://m.bqgl.cc/map//look/188074/')
('情满女监', 'https://m.bqgl.cc/map//look/188810/')
('混民国，不借就抢', 'https://m.bqgl.cc/map//look/188737/')
('人在阳间，你说我阴司当差十年？', 'https://m.bqgl.cc/map//look/188515/')
('合欢宗娱乐传媒有限公司', 'https://m.bqgl.cc/map//look/188165/')
('鉴宝：开局一双黄金瞳', 'https://m.bqgl.cc/map//look/187921/')
('神豪从逆袭人生开始', 'https://m.bqgl.cc/map//look/188033/')
('人在吞噬，倒卖诸天', 'https://m.bqgl.cc/map//look/187974/')
('春日咬痕', 'https://m.bqgl.cc/map//look/188083/')
('都市神豪，多子多福', 'https://m.bqgl.cc/map//look/188611/')
('恶果', 'https://m.bqgl.cc/map//look/187908/')
('末世：丧尸爆物资，我的爆率有亿点强！', 'https://m.bqgl.cc/map//look/188596/')
('仙门娇女在七零当团宠', 'https://m.bqgl.cc/map//look/188125/')
('被逐出家门从破冰捞鱼开始', 'https://m.bqgl.cc/map//look/188716/')
('小姐，姑爷已死，心和眼都被挖了', 'https://m.bqgl.cc/map//look/188370/')
('重回八零年，我在港岛卖山寨服装', 'https://m.bqgl.cc/map//look/188094/')
('2001传媒教父', 'https://m.bqgl.cc/map//look/188479/')
('我都快渡劫期了，假千金还在争宠呢', 'https://m.bqgl.cc/map//look/188143/')
('斗罗：鲨之猎刃，潜行于黑暗！', 'https://m.bqgl.cc/map//look/188170/')
('奖励少林功法，可我不是和尚啊！', 'https://m.bqgl.cc/map//look/187966/')
('神明调查报告', 'https://m.bqgl.cc/map//look/188045/')
('斗罗：从旅行者降临开始颠覆', 'https://m.bqgl.cc/map//look/188174/')
('荒古圣体觉得我太极端！', 'https://m.bqgl.cc/map//look/188490/')
('被渣爹抛弃后，首富爸爸宠翻天', 'https://m.bqgl.cc/map//look/188238/')
('三角洲：开局获得天才少年系统', 'https://m.bqgl.cc/map//look/187922/')
('末法天地长生仙', 'https://m.bqgl.cc/map//look/188263/')
('美警生存实录：以德服人', 'https://m.bqgl.cc/map//look/188334/')
('过期苹果', 'https://m.bqgl.cc/map//look/188096/')
('仙道尽头', 'https://m.bqgl.cc/map//look/188038/')
('遮天之开局成为气运之子', 'https://m.bqgl.cc/map//look/187874/')
('大明世家五百年', 'https://m.bqgl.cc/map//look/187985/')
('盗墓：开局选择方士', 'https://m.bqgl.cc/map//look/188698/')
('从恒大踢后腰开始', 'https://m.bqgl.cc/map//look/188065/')
('千年后复活，妻子有点炫压抑', 'https://m.bqgl.cc/map//look/188267/')
('四合院：这个大院没有我，就得散', 'https://m.bqgl.cc/map//look/188380/')
('一命速通十二鬼月最高难度', 'https://m.bqgl.cc/map//look/188140/')
('温柔刀', 'https://m.bqgl.cc/map//look/188462/')
('全职法师：最强召唤兽竟是我自己', 'https://m.bqgl.cc/map//look/188452/')
('别人听劝仿明星，你开局扮神明？', 'https://m.bqgl.cc/map//look/188752/')
('仙侣奇缘', 'https://m.bqgl.cc/map//look/188004/')
('从满仓A股开始成为资本', 'https://m.bqgl.cc/map//look/187945/')
('美艳妻子离婚后', 'https://m.bqgl.cc/map//look/188528/')
('逆天龙尊', 'https://m.bqgl.cc/map//look/188704/')
('末日：变身萌妹，我抱紧主角大腿', 'https://m.bqgl.cc/map//look/188635/')
('暴发户怎么了，有本事别求我啊', 'https://m.bqgl.cc/map//look/187906/')
('从走阴斗倒开始成为道主', 'https://m.bqgl.cc/map//look/188731/')
('军统财神爷', 'https://m.bqgl.cc/map//look/188696/')
('万般特质加身，我终将成为不朽', 'https://m.bqgl.cc/map//look/188461/')
('觉醒缺陷之眼，我成了软件界的神', 'https://m.bqgl.cc/map//look/187842/')
('天灾巨龙，从培养骑士家族开始', 'https://m.bqgl.cc/map//look/188447/')
('全职猎人：火红眼的毒舌少年', 'https://m.bqgl.cc/map//look/188683/')
('说好开发消消乐，大闹天宫什么鬼', 'https://m.bqgl.cc/map//look/188420/')
('接个吻都揍我，不要你了你哭什么', 'https://m.bqgl.cc/map//look/187864/')
('东北邪乎事', 'https://m.bqgl.cc/map//look/187832/')
('天幕：刷短视频，嬴政得了MVP', 'https://m.bqgl.cc/map//look/188504/')
('重生以后，我成了神雕侠杨过', 'https://m.bqgl.cc/map//look/188118/')
('今天毁灭世界了吗？', 'https://m.bqgl.cc/map//look/188483/')
('两界：从倒卖药品开始长生', 'https://m.bqgl.cc/map//look/188402/')
('公狗腰', 'https://m.bqgl.cc/map//look/188588/')
('让你模拟作案，你上演完美犯罪？', 'https://m.bqgl.cc/map//look/188637/')
('人在小县城，年入百万', 'https://m.bqgl.cc/map//look/188079/')
('地府两祸害，惹得全城偷听八卦', 'https://m.bqgl.cc/map//look/188571/')
('一人之下：穿成吕良，浑身马甲', 'https://m.bqgl.cc/map//look/188168/')
('荒年全村啃树皮我带全家咔咔炫肉', 'https://m.bqgl.cc/map//look/188348/')
('末日重生开局掠夺SSS级天赋', 'https://m.bqgl.cc/map//look/188735/')
('大夏：开局召唤罗网，镇压江湖', 'https://m.bqgl.cc/map//look/188729/')
('维校的三好学生', 'https://m.bqgl.cc/map//look/188041/')
('小病秧子他又凶又甜', 'https://m.bqgl.cc/map//look/188124/')
('越狱后我成了世界上最可怕的存在', 'https://m.bqgl.cc/map//look/188613/')
('玲珑骨', 'https://m.bqgl.cc/map//look/188021/')
('全职法师：时之天使，但刻刻帝', 'https://m.bqgl.cc/map//look/188129/')
('侯爷世无双', 'https://m.bqgl.cc/map//look/187972/')
('青玄圣地顾修关雪岚江浔', 'https://m.bqgl.cc/map//look/188007/')
('大秦攻略', 'https://m.bqgl.cc/map//look/188427/')
('荒野双狼', 'https://m.bqgl.cc/map//look/188751/')
('无限：恶女', 'https://m.bqgl.cc/map//look/188367/')
('分身万界：憧憬成为光之巨人', 'https://m.bqgl.cc/map//look/188070/')
('这个导演没有格局', 'https://m.bqgl.cc/map//look/188341/')
('火影里的丧尸仙人', 'https://m.bqgl.cc/map//look/188434/')
('六零：资本家小姐抢渣哥两船财宝', 'https://m.bqgl.cc/map//look/188119/')
('江南裁缝日志', 'https://m.bqgl.cc/map//look/188212/')
('精灵：这个训练家太野了', 'https://m.bqgl.cc/map//look/188469/')
('离婚当天，她捧着烈士骨灰杀疯了', 'https://m.bqgl.cc/map//look/187839/')
('表兄不可', 'https://m.bqgl.cc/map//look/188153/')
('女总裁的上门女婿叶凡', 'https://m.bqgl.cc/map//look/188057/')
('芙蓉帐暖', 'https://m.bqgl.cc/map//look/188150/')
('被污蔑当天，反手编辑大帝背景！', 'https://m.bqgl.cc/map//look/188726/')
('叶青叶灵儿', 'https://m.bqgl.cc/map//look/188005/')
('综漫：诸天万界从恶魔咒蓝开始', 'https://m.bqgl.cc/map//look/188628/')
('恶毒女修不装了，开局五个道侣', 'https://m.bqgl.cc/map//look/188028/')
('相依为病', 'https://m.bqgl.cc/map//look/188231/')
('坐看仙倾', 'https://m.bqgl.cc/map//look/188681/')
('三国：昭烈谋主，三兴炎汉', 'https://m.bqgl.cc/map//look/188812/')
('重生72，打猎养全家，我把妹妹宠上天', 'https://m.bqgl.cc/map//look/188228/')
('错宠假千金，全京城权贵暴虐侯府', 'https://m.bqgl.cc/map//look/188776/')
('汉末太平道', 'https://m.bqgl.cc/map//look/188465/')
('洪荒人祖：开局带领人族归隐', 'https://m.bqgl.cc/map//look/188407/')
('回村后，从绑定峨眉开始赶山', 'https://m.bqgl.cc/map//look/187860/')
('斗罗：谪仙临尘，酒剑弑神', 'https://m.bqgl.cc/map//look/188073/')
('港圈大佬携子堵门哄，苏小姐誓死不回头', 'https://m.bqgl.cc/map//look/188404/')
('爷爷战友赵蒙生，你要强拆我家？', 'https://m.bqgl.cc/map//look/187829/')
('宣妃娘娘养娃日常(清穿)', 'https://m.bqgl.cc/map//look/188239/')
('开局拿下极品女神，我壕无人性', 'https://m.bqgl.cc/map//look/188665/')
('疯批病娇男主？拿来吧你！', 'https://m.bqgl.cc/map//look/188219/')
('渣雌回归后，美强惨父子超粘人', 'https://m.bqgl.cc/map//look/188486/')
('官道神医', 'https://m.bqgl.cc/map//look/188373/')
('白眼狼们集体重生，这回她不管了', 'https://m.bqgl.cc/map//look/188672/')
